run_id,filter_with_size,filter_with_mode,nb_images,is_balanced,final_size,with_augmentation,optimizer,learning_rate,loss,batch_size,num_epo,class_weights,early_stopping,model_type,accuracy,f1_score
2021_07_06-01_26_09,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,100,40,None,True,flatten,0.8907067775726318,0.1581920903954802
2021_07_06-09_37_24,True,True,-1,True,"(600, 700)",False,adam,0.001,binary_crossentropy,100,40,None,True,flatten,0.7506053268765133,0.8015414258188825
2021_07_06-09_01_30-2,True,True,-1,True,"(600, 700)",False,adam,0.001,binary_crossentropy,50,40,None,True,flatten,0.8138424821002387,0.8381742738589212
2021_07_06-09_01_30,True,True,-1,True,"(600, 700)",False,adam,0.001,binary_crossentropy,100,40,None,True,pooling,0.7935779816513762,0.810126582278481
2021_07_06-13_08_53,True,True,-1,True,"(600, 700)",False,adam,0.001,binary_crossentropy,150,40,None,True,flatten,0.764172335600907,0.7984496124031008
2021_07_06-09_01_30-3,True,True,-1,True,"(600, 700)",False,adam,0.001,binary_crossentropy,50,40,None,True,pooling,0.8177458033573142,0.8396624472573839
2021_07_06-12_36_20,True,True,-1,True,"(600, 700)",False,adam,0.001,binary_crossentropy,150,40,None,True,pooling,0.7920560747663551,0.8126315789473684
2021_07_05-22_37_44,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,50,40,None,True,pooling,0.7886125654450262,0.1293800539083558
2021_07_06-16_53_02,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,150,40,None,True,flatten,0.9299738219895288,0.7551487414187643
2021_07_06-13_48_23,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,150,40,None,True,pooling,0.930628272251309,0.7165775401069518
2021_07_06-01_24_15,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,100,40,None,True,pooling,0.7729057591623036,0.10796915167095117
2021_07_07-21_25_35,True,True,-1,False,"(600, 700)",False,adam,0.0001,binary_crossentropy,50,30,balanced,True,flatten,0.9221204188481675,0.7251732101616627
2021_07_07-21_18_58-3,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,50,30,balanced,True,flatten,0.9234293193717278,0.7322654462242564
2021_07_07-21_18_58-4,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,100,30,balanced,True,flatten,0.856675392670157,0.6343906510851419
2021_07_07-21_18_58-5,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,50,30,balanced,True,pooling,0.9352094240837696,0.7428571428571429
2021_07_07-19_34_46-2,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,50,30,,True,pooling,0.9332460732984293,0.7243243243243243
2021_07_08-06_10_05,True,True,-1,False,"(600, 700)",False,adam,0.0001,binary_crossentropy,100,30,balanced,True,flatten,0.9273560209424084,0.7424593967517401
2021_07_07-21_18_58,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,100,30,balanced,True,pooling,0.9345549738219895,0.7368421052631577
2021_07_08-03_34_46,True,True,-1,False,"(600, 700)",False,adam,0.0001,binary_crossentropy,50,30,balanced,True,pooling,0.9214659685863874,0.6385542168674699
2021_07_07-19_34_46,True,True,-1,False,"(600, 700)",False,adam,0.001,binary_crossentropy,100,30,,True,pooling,0.9332460732984293,0.7301587301587301
2021_07_09-00_11_33,True,True,-1,False,"(600, 700)",False,adam,0.0001,binary_crossentropy,150,30,balanced,True,flatten,0.9240837696335078,0.7302325581395347
2021_07_09-01_45_25,True,True,-1,False,"(600, 700)",False,adam,0.0001,binary_crossentropy,150,30,balanced,True,pooling,0.8612565445026178,0.009345794392523364
2021_07_08-07_59_48,True,True,-1,False,"(600, 700)",False,adam,0.0001,binary_crossentropy,100,30,balanced,True,pooling,0.9051047120418848,0.5245901639344263
2021_07_10-13_31_12-7,True,True,-1,True,"(600, 700)",False,adam,0.01,binary_crossentropy,50,30,,True,flatten,0.6252821670428894,0.71864406779661
2021_07_10-13_31_12-4,True,True,-1,True,"(600, 700)",False,adam,0.0001,binary_crossentropy,100,30,,True,flatten,0.7929411764705883,0.824
2021_07_10-13_31_12-2,True,True,-1,True,"(600, 700)",False,adam,0.01,binary_crossentropy,100,30,,True,flatten,0.8238095238095238,0.8458333333333332
2021_07_10-13_31_12-3,True,True,-1,True,"(600, 700)",False,adam,0.0001,binary_crossentropy,50,30,,True,flatten,0.800453514739229,0.8211382113821138
2021_07_10-13_31_12-6,True,True,-1,True,"(600, 700)",False,adam,0.0001,binary_crossentropy,50,30,,True,pooling,0.7690582959641256,0.774617067833698
2021_07_10-15_40_26,True,True,-1,True,"(600, 700)",False,adam,1e-05,binary_crossentropy,50,30,,True,flatten,0.8071428571428572,0.8316008316008315
2021_07_10-13_31_12,True,True,-1,True,"(600, 700)",False,adam,0.01,binary_crossentropy,50,30,,True,pooling,0.7488479262672811,0.7915869980879541
2021_07_10-13_31_12-5,True,True,-1,True,"(600, 700)",False,adam,0.01,binary_crossentropy,100,30,,True,pooling,0.7775175644028103,0.8133595284872298
2021_07_10-16_55_01,True,True,-1,True,"(600, 700)",False,adam,1e-05,binary_crossentropy,50,30,,True,pooling,0.3780487804878049,0.38554216867469876
2021_07_10-18_44_14,True,True,-1,False,"(600, 700)",False,adam,0.01,weighted_binary_crossentropy,50,30,balanced,True,flatten,0.900523560209424,0.6947791164658634
2021_07_10-17_15_10,True,True,-1,True,"(600, 700)",False,adam,1e-05,binary_crossentropy,100,30,,True,flatten,0.789598108747045,0.8172484599589322
2021_07_10-18_40_14,True,True,-1,True,"(600, 700)",False,adam,1e-05,binary_crossentropy,100,30,,True,pooling,0.6278538812785388,0.6553911205073996
2021_07_10-15_39_51,True,True,-1,True,"(600, 700)",False,adam,0.0001,binary_crossentropy,100,30,,True,pooling,0.7952941176470588,0.8112798264642083
2021_07_11-00_56_59,True,True,-1,False,"(600, 700)",False,adam,0.001,weighted_binary_crossentropy,50,30,balanced,True,flatten,0.8638743455497382,0.6450511945392491
2021_07_10-19_29_55,True,True,-1,False,"(600, 700)",False,adam,0.01,weighted_binary_crossentropy,100,30,balanced,True,flatten,0.8586387434554974,0.6435643564356436
2021_07_11-04_18_22,True,True,-1,False,"(600, 700)",False,adam,0.001,weighted_binary_crossentropy,100,30,balanced,True,flatten,0.9181937172774869,0.7240618101545253
2021_07_11-11_01_55,True,True,-1,False,"(600, 700)",False,adam,0.0001,weighted_binary_crossentropy,50,30,balanced,True,flatten,0.9129581151832461,0.712742980561555
2021_07_10-18_56_09,True,True,-1,False,"(600, 700)",False,adam,0.01,weighted_binary_crossentropy,50,30,balanced,True,pooling,0.9227748691099477,0.7400881057268721
2021_07_10-20_24_19,True,True,-1,False,"(600, 700)",False,adam,0.01,weighted_binary_crossentropy,100,30,balanced,True,pooling,0.9142670157068062,0.7310061601642709
2021_07_11-15_17_52,True,True,-1,False,"(600, 700)",False,adam,0.0001,weighted_binary_crossentropy,100,30,balanced,True,flatten,0.9240837696335078,0.7327188940092166
2021_07_11-01_00_16,True,True,-1,False,"(600, 700)",False,adam,0.001,weighted_binary_crossentropy,50,30,balanced,True,pooling,0.8907068062827225,0.6794625719769674
2021_07_11-05_54_02,True,True,-1,False,"(600, 700)",False,adam,0.001,weighted_binary_crossentropy,100,30,balanced,True,pooling,0.9142670157068062,0.720682302771855
2021_07_12-11_36_44-4,True,True,-1,False,"(600, 700)",False,adam,0.01,weighted_binary_crossentropy,150,30,balanced,True,pooling,0.9286649214659686,0.7347931873479318
2021_07_12-11_36_44-3,True,True,-1,False,"(600, 700)",False,adam,0.001,weighted_binary_crossentropy,150,30,balanced,True,flatten,0.9031413612565445,0.7063492063492063
2021_07_11-21_06_27,True,True,-1,False,"(600, 700)",False,adam,0.0001,weighted_binary_crossentropy,100,30,balanced,True,pooling,0.805628272251309,0.545176110260337
2021_07_12-11_36_44,True,True,-1,False,"(600, 700)",False,adam,0.01,weighted_binary_crossentropy,150,30,balanced,True,flatten,0.9162303664921466,0.7241379310344828
2021_07_11-13_45_48,True,True,-1,False,"(600, 700)",False,adam,0.0001,weighted_binary_crossentropy,50,30,balanced,True,pooling,0.806282722513089,0.5474006116207951
2021_07_15-23_25_54-3,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,50,30,,True,pooling,0.7627118644067796,0.8122605363984674
2021_07_15-23_25_54,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,100,30,,True,pooling,0.7946859903381642,0.8232848232848234
2021_07_15-23_25_54-2,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,100,30,,True,flatten,0.7838479809976246,0.814663951120163
2021_07_15-23_25_54-4,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,50,30,,True,flatten,0.8484107579462102,0.8495145631067961
2021_07_17-15_32_00,True,True,-1,True,"(600, 700)",True,adam,0.0001,binary_crossentropy,50,30,,True,flatten,0.7976470588235294,0.8244897959183675
2021_07_17-15_25_11-7,True,True,-1,True,"(600, 700)",True,adam,0.001,binary_crossentropy,50,30,,True,flatten,0.765,0.8171206225680935
2021_07_17-15_25_11-4,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,150,30,,True,flatten,0.7450980392156863,0.6848484848484848
2021_07_17-15_25_11-6,True,True,-1,True,"(600, 700)",True,adam,0.001,binary_crossentropy,100,30,,True,pooling,0.7724137931034483,0.8023952095808383
2021_07_17-15_25_11-5,True,True,-1,True,"(600, 700)",True,adam,0.001,binary_crossentropy,100,30,,True,flatten,0.6126760563380281,0.7198641765704584
2021_07_17-15_25_11-2,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,150,30,,True,pooling,0.7487562189054726,0.803883495145631
2021_07_17-15_25_11-3,True,True,-1,True,"(600, 700)",True,adam,0.001,binary_crossentropy,50,30,,True,pooling,0.7433414043583535,0.7977099236641221
2021_07_17-17_41_46,True,True,-1,True,"(600, 700)",True,adam,0.0001,binary_crossentropy,50,30,,True,pooling,0.7757009345794392,0.7948717948717949
2021_07_17-17_53_59,True,True,-1,True,"(600, 700)",True,adam,0.0001,binary_crossentropy,100,30,,True,flatten,0.7684729064039408,0.81496062992126
2021_07_17-17_54_45,True,True,-1,True,"(600, 700)",True,adam,0.0001,binary_crossentropy,100,30,,True,pooling,0.7365728900255755,0.7726269315673289
2021_07_17-19_14_54,True,True,-1,False,"(600, 700)",True,adam,0.001,binary_crossentropy,50,30,balanced,True,flatten,0.9109947643979057,0.6894977168949772
2021_07_17-20_14_17,True,True,-1,False,"(600, 700)",True,adam,0.001,binary_crossentropy,100,30,balanced,True,flatten,0.8972513089005235,0.670859538784067
2021_07_17-19_17_45,True,True,-1,False,"(600, 700)",True,adam,0.001,binary_crossentropy,50,30,balanced,True,pooling,0.9142670157068062,0.596923076923077
2021_07_17-21_01_09,True,True,-1,False,"(600, 700)",True,adam,0.001,binary_crossentropy,100,30,balanced,True,pooling,0.9201570680628273,0.6666666666666667
2021_07_21-03_16_02,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,50,30,,True,flatten,0.6757369614512472,0.7486818980667838
2021_07_21-04_29_37,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,50,30,,True,pooling,0.7248157248157249,0.7894736842105263
2021_07_21-07_32_51,True,True,-1,True,"(600, 700)",True,adam,0.01,binary_crossentropy,100,30,,True,flatten,0.808252427184466,0.8410462776659959
